Username,ID,Last Name,Password,Concerts Purchased,First Name,TicketMiner Membership,Money Available
michaeladams,516,Adams,Fun!23,0,Michael,false,4950.54
sheriadams,584,Adams,Fun!23,0,Sheri,true,4280.25
anthonyadams,712,Adams,Fun!23,0,Anthony,false,7023.48
williamadkins,727,Adkins,Fun!23,0,William,true,4800.08
jafaraladdin,18,Aladdin,Fun!23,0,Jafar,false,9440
juliealexander,166,Alexander,Fun!23,0,Julie,true,9233.6
tamialexander,293,Alexander,Fun!23,0,Tami,true,5912.72
lindaalexander,458,Alexander,Fun!23,0,Linda,true,4012.14
donnaallen,206,Allen,Fun!23,0,Donna,false,4477.56
susanallen,270,Allen,Fun!23,0,Susan,true,7144.24
tyronealvarado,881,Alvarado,Fun!23,0,Tyrone,false,9210.73
jacobalvarez,40,Alvarez,Fun!23,0,Jacob,false,3400.4
jeremyalvarez,186,Alvarez,Fun!23,0,Jeremy,false,4458.41
susanalvarez,213,Alvarez,Fun!23,0,Susan,true,4908.96
elizabethalvarez,383,Alvarez,Fun!23,0,Elizabeth,true,8248.06
nicholasanderson,194,Anderson,Fun!23,0,Nicholas,true,9050.61
jessicaanderson,490,Anderson,Fun!23,0,Jessica,false,6993.78
sarahanderson,597,Anderson,Fun!23,0,Sarah,true,9375.15
jamesanderson,652,Anderson,Fun!23,0,James,false,3465.02
victoranderson,840,Anderson,Fun!23,0,Victor,true,7253.12
maryanderson,965,Anderson,Fun!23,0,Mary,true,4342.75
anaandrade,940,Andrade,Fun!23,0,Ana,false,9317.41
brittanyandrews,94,Andrews,Fun!23,0,Brittany,false,5309.18
brianandrews,124,Andrews,Fun!23,0,Brian,false,9428
joelarellano,239,Arellano,Fun!23,0,Joel,false,8926.78
hannaharias,132,Arias,Fun!23,0,Hannah,true,8915.8
emmaarmstrong,337,Armstrong,Fun!23,0,Emma,true,7667.51
sherriarmstrong,627,Armstrong,Fun!23,0,Sherri,true,6885.51
shanearnold,379,Arnold,Fun!23,0,Shane,false,6557.19
allenarnold,637,Arnold,Fun!23,0,Allen,true,4946.29
andrewatkins,695,Atkins,Fun!23,0,Andrew,true,9563.06
jonathanavalos,41,Avalos,Fun!23,0,Jonathan,false,6725.94
shannonavery,229,Avery,Fun!23,0,Shannon,true,5441.77
markanthonyavila,42,Avila,Fun!23,0,MarkAnthony,true,3924.59
ruthavilarodriguez,43,AvilaRodriguez,Fun!23,0,Ruth,false,5698.65
jonathanayala,44,Ayala,Fun!23,0,Jonathan,true,6127
georgeayala,800,Ayala,Fun!23,0,George,false,5701.19
scottbailey,635,Bailey,Fun!23,0,Scott,true,7735.8
jenniferbailey,738,Bailey,Fun!23,0,Jennifer,false,4554.85
geraldbaker,449,Baker,Fun!23,0,Gerald,false,8344.6
darinbaker,598,Baker,Fun!23,0,Darin,false,6423.25
amandabaker,1037,Baker,Fun!23,0,Amanda,true,4383.63
joshuabanks,715,Banks,Fun!23,0,Joshua,true,9822.63
angelbarber,494,Barber,Fun!23,0,Angel,false,3970.42
anthonybarber,594,Barber,Fun!23,0,Anthony,false,4452.94
heidibarker,354,Barker,Fun!23,0,Heidi,false,9504.65
erinbarton,1026,Barton,Fun!23,0,Erin,false,8061.4
adambass,417,Bass,Fun!23,0,Adam,false,8968.31
tylerbaxter,618,Baxter,Fun!23,0,Tyler,true,6537.58
kristabeck,967,Beck,Fun!23,0,Krista,false,5181.07
kellybell,479,Bell,Fun!23,0,Kelly,true,3243.47
bradleybell,575,Bell,Fun!23,0,Bradley,true,3924.98
geraldbeltran,560,Beltran,Fun!23,0,Gerald,true,9768.55
dakotabender,361,Bender,Fun!23,0,Dakota,true,3320.85
lindabennett,170,Bennett,Fun!23,0,Linda,true,5832.81
shannonbennett,273,Bennett,Fun!23,0,Shannon,true,7658.42
carriebennett,368,Bennett,Fun!23,0,Carrie,false,8571.66
bobbybennett,515,Bennett,Fun!23,0,Bobby,false,6744.6
patrickbennett,784,Bennett,Fun!23,0,Patrick,true,8369.15
ernestbentley,825,Bentley,Fun!23,0,Ernest,false,6343.91
rodneyberg,556,Berg,Fun!23,0,Rodney,false,5075.46
timothybernard,693,Bernard,Fun!23,0,Timothy,false,9613.93
christopherberry,962,Berry,Fun!23,0,Christopher,true,3747.24
jeffreybest,696,Best,Fun!23,0,Jeffrey,true,4283.56
alexisblack,771,Black,Fun!23,0,Alexis,true,7833.56
mariahblack,980,Black,Fun!23,0,Mariah,true,6889.81
richardblackwell,154,Blackwell,Fun!23,0,Richard,true,9228.52
debrablackwell,503,Blackwell,Fun!23,0,Debra,false,3156.39
sandyblackwell,747,Blackwell,Fun!23,0,Sandy,true,4282.4
johnblair,700,Blair,Fun!23,0,John,true,7596.63
kristablake,427,Blake,Fun!23,0,Krista,true,4072.37
johnblevins,691,Blevins,Fun!23,0,John,false,3383.92
ronaldbond,626,Bond,Fun!23,0,Ronald,false,5804.73
thomasbonilla,477,Bonilla,Fun!23,0,Thomas,true,8221.46
louisboone,501,Boone,Fun!23,0,Louis,false,7635.03
kevinboone,741,Boone,Fun!23,0,Kevin,false,9989.01
raybooth,452,Booth,Fun!23,0,Ray,true,5278.94
ryanbowman,547,Bowman,Fun!23,0,Ryan,false,3443.35
kennethboyd,877,Boyd,Fun!23,0,Kenneth,false,6634.15
reneebradley,112,Bradley,Fun!23,0,Renee,true,3553.5
amybradley,308,Bradley,Fun!23,0,Amy,false,6600.03
emilybrady,438,Brady,Fun!23,0,Emily,false,5369.98
jamesbrennan,595,Brennan,Fun!23,0,James,false,4098.79
juanbrock,838,Brock,Fun!23,0,Juan,true,8770.96
toddbrooks,143,Brooks,Fun!23,0,Todd,true,4712.9
antoniobrooks,360,Brooks,Fun!23,0,Antonio,false,8373.39
josephbrooks,388,Brooks,Fun!23,0,Joseph,true,9507.97
anthonybrooks,593,Brooks,Fun!23,0,Anthony,true,3497.58
davidbrown,99,Brown,Fun!23,0,David,true,3300.65
richardbrown,179,Brown,Fun!23,0,Richard,true,5582.41
lisabrown,352,Brown,Fun!23,0,Lisa,true,4263.45
amberbrown,359,Brown,Fun!23,0,Amber,true,5340.28
